edad,peso,SJ,CMJ,CONTINUO
16,60,22.71,23.34,8.39
13,45,15.84,14.64,14.91
15,82,16.68,18.79,10.65
16,48,25.31,29.55,21.94
13,61,31.31,33.27,29.36
18,54,26.61,27.95,18.89
13,46,14.32,14.4,8.55
13,58,19.06,20.46,17.76
14,52,24.36,26.17,18.37
13,40,32.9,37.36,18.37
17,59,29.67,29.67,31.55
11,35,15.76,20.27,17.24
12,49,14.01,13.26,14.98
13,58,23.63,23.94,17.34
11,63,17.98,15.84,15.37
13,59,19.52,19.06,19.67
17,62,26.83,27.83,18.5
16,62,22.61,25.96,14.31
10,34,15.68,17.37,10.64
13,36,19.89,27.27,19.83
18,54,25.63,25.74,21.86
16,62,23.43,21.62,17.57
14,49,23.94,28.86,30.73
15,58,20.27,26.61,16.17
14,81,17.54,17.98,11.04
14,56,19.61,20.84,12.42
11,42,20.7,21.8,13.6
12,44,13.86,14.09,16.18
12,42,21.13,23.13,6.58
14,63,11.89,16.6,14.87
15,59,21.82,22.51,23.32
15,56,18.61,16.18,12.32
12,47,20.46,24.78,18.68
16,56,20.75,24.88,20.42
18,70,29.43,33.03,24.07
11,37,21.72,18.16,26.12
16,49,24.67,24.88,15.31
